Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       33   33.0000       4.30764       4.30764       4.30764      0.130646      0.462207E-02   0.00000       1.51802       8.42362      -1.08996       24.2376       0.00000      -332.663       16.0500      0.500000       1.33609       5.40877     -0.899960       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       4.34181       4.34181       4.34181      0.238486      0.843675E-02   0.00000       12.5521       16.3580       3.69405       8.70278       0.00000      -332.827       16.0500      0.500000       1.37439       5.38668     -0.830191       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       4.37011       4.37011       4.37011      0.161860      0.572569E-02  0.109431E-02  -46.5146       6.50430      -12.8666       47.0722       0.00000      -332.963       16.0500      0.500000       1.40877       5.36696     -0.772700       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       4.37182       4.37182       4.37182      0.718959E-01  0.254326E-02  0.134190E-02  -50.3088      -2.10875      -7.06210       46.2211       0.00000      -332.971       16.0500      0.500000       1.42799       5.35598     -0.752600       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       4.36755       4.36755       4.36755      0.226318      0.800587E-02  0.167376E-02  -47.1244      -7.27311      -20.5392       31.5909       0.00000      -332.951       16.0500      0.500000       1.44344       5.34718     -0.741119       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       4.34859       4.34859       4.34859      0.206815      0.731623E-02  0.221585E-02  -87.4716      -12.5624      -35.1028       45.5704       0.00000      -332.860       16.0500      0.500000       1.45046       5.34320     -0.748811       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       4.29584       4.29584       4.29584      0.147311      0.521178E-02  0.243008E-02  -118.578      -22.0703      -40.3872       51.7405       0.00000      -332.607       16.0500      0.500000       1.43899       5.34971     -0.799746       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       4.21120       4.21120       4.21120      0.904447E-01  0.320039E-02  0.207545E-02  -116.712      -17.3532      -27.0614       62.1299       0.00000      -332.201       16.0500      0.500000       1.41206       5.36502     -0.892295       0.00000       0.00000       0.00000       0.00000    
       41   41.0000       4.14238       4.14238       4.14238      0.805167E-01  0.284946E-02  0.176704E-02  -111.506      -16.0583      -22.3037       64.8465       0.00000      -331.872       16.0500      0.500000       1.39683       5.37371     -0.962609       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       4.08382       4.08382       4.08382      0.105452      0.373233E-02  0.134629E-02  -88.3438      -12.6150      -21.6604       57.6980       0.00000      -331.591       16.0500      0.500000       1.38891       5.37824      -1.01771       0.00000       0.00000       0.00000       0.00000    
       43   43.0000       4.04584       4.04584       4.04584      0.932416E-01  0.330041E-02  0.112077E-02  -84.1835      -12.0295      -19.9774       56.8582       0.00000      -331.410       16.0500      0.500000       1.39240       5.37624      -1.04337       0.00000       0.00000       0.00000       0.00000    
       44   44.0000       4.01215       4.01215       4.01215      0.816551E-01  0.289047E-02  0.610937E-03  -57.1625      -5.01039      -13.2738       52.3574       0.00000      -331.249       16.0500      0.500000       1.39838       5.37282      -1.06255       0.00000       0.00000       0.00000       0.00000    
       45   45.0000       4.00736       4.00736       4.00736      0.193920      0.686455E-02   0.00000      -23.0460       2.04823      -8.27346       37.5935       0.00000      -331.226       16.0500      0.500000       1.41827       5.36145      -1.04258       0.00000       0.00000       0.00000       0.00000    
       46   46.0000       4.02734       4.02734       4.02734      0.125224      0.443263E-02  0.810997E-03  -65.9625      -8.13615      -18.4760       54.7086       0.00000      -331.321       16.0500      0.500000       1.44946       5.34366     -0.991695       0.00000       0.00000       0.00000       0.00000    
       47   47.0000       4.01419       4.01419       4.01419      0.121923      0.431586E-02  0.907052E-03  -77.7800      -15.2802      -25.4534       48.6877       0.00000      -331.258       16.0500      0.500000       1.46369       5.33559     -0.985844       0.00000       0.00000       0.00000       0.00000    
       48   48.0000       3.97816       3.97816       3.97816      0.955923E-01  0.338405E-02   0.00000      -91.9768      -16.3661      -21.1528       62.7750       0.00000      -331.086       16.0500      0.500000       1.46641       5.33404      -1.00969       0.00000       0.00000       0.00000       0.00000    
       49   49.0000       3.94167       3.94203       3.97816      0.127453      0.451225E-02   0.00000      -82.9434      -16.9589      -24.4481       55.0081       0.00000      -330.912       15.7390      0.500000       1.48707       5.32235     -0.987078       0.00000       0.00000       0.00000       0.00000    
       50   50.0000       3.90730       3.90749       3.96720      0.788465E-01  0.279161E-02   0.00000      -77.2890      -12.3469      -18.3942       58.0922       0.00000      -330.748       15.9811      0.718282       1.50182       5.31401     -0.979288       0.00000       0.00000       0.00000       0.00000    
       51   51.0000       3.87785       3.88414       3.96720      0.666449E-01  0.235974E-02   0.00000      -73.3028      -10.3189      -14.7547       60.9883       0.00000      -330.607       13.7903      0.500000       1.52171       5.30281     -0.958451       0.00000       0.00000       0.00000       0.00000    
       52   52.0000       3.85846       3.86958       3.96720      0.103010      0.364749E-02   0.00000      -116.531      -21.1280      -28.1528       75.9988       0.00000      -330.514       12.7654      0.500000       1.54113       5.29190     -0.938640       0.00000       0.00000       0.00000       0.00000    
       53   53.0000       3.80119       3.81884       3.94924      0.231892      0.821197E-02   0.00000      -104.499      -33.6545      -46.7136       36.9925       0.00000      -330.241       12.9452      0.616247       1.55104       5.28634     -0.941378       0.00000       0.00000       0.00000       0.00000    
       54   54.0000       3.73352       3.73352       3.73352      0.146675      0.519485E-02   0.00000      -49.6339      -13.4289      -19.5256       28.5258       0.00000      -329.918       16.0500      0.500000       1.46105       5.33669      -1.19822       0.00000       0.00000       0.00000       0.00000    
